"business_name","business_page","telephone","street_address","locality","region","postal_code","rank"
"O Ya","https://www.yellowpages.com/boston-ma/mip/o-ya-2586128?lid=2586128","(617) 654-9900","9 East St","Boston","MA","02111","37"
"Ma Maison","https://www.yellowpages.com/boston-ma/mip/ma-maison-11401474?lid=11401474","(617) 725-8855","272 Cambridge St","Boston","MA","02114","38"
"Pagliuca's Restaurant Inc","https://www.yellowpages.com/boston-ma/mip/pagliucas-restaurant-inc-3748766?lid=3748766","(617) 367-1504","14 Parmenter St","Boston","MA","02113","39"
"Storyville","https://www.yellowpages.com/boston-ma/mip/storyville-466910206?lid=466910206","(617) 236-1134","90 Exeter St","Boston","MA","02116","40"
"Mediterranean Grill","https://www.yellowpages.com/boston-ma/mip/mediterranean-grill-10719235?lid=10719235","(617) 338-4507","281 Franklin St","Boston","MA","02110","41"
"Assaggio","https://www.yellowpages.com/boston-ma/mip/assaggio-5188078?lid=5188078","(617) 227-7380","29 Prince St","Boston","MA","02113","42"
"Barking Crab","https://www.yellowpages.com/boston-ma/mip/barking-crab-9021590?lid=9021590","(617) 426-2722","88 Sleeper St","Boston","MA","02210","43"
"Dino's Cafe","https://www.yellowpages.com/boston-ma/mip/dinos-cafe-5835603?lid=5835603","(617) 227-1991","141 Salem St","Boston","MA","02113","44"
"Volle Nolle","https://www.yellowpages.com/boston-ma/mip/volle-nolle-6188138?lid=6188138","(617) 523-0003","351 Hanover St","Boston","MA","02113","45"
"Piccolo Nido","https://www.yellowpages.com/boston-ma/mip/piccolo-nido-15857036?lid=15857036","(617) 742-4272","257 North St","Boston","MA","02113","46"
"North 26","https://www.yellowpages.com/boston-ma/mip/north-26-472159064?lid=472159064","(617) 523-4119","26 North St","Boston","MA","02109","47"
"Zen Restaurant","https://www.yellowpages.com/boston-ma/mip/zen-restaurant-461825018?lid=461825018","(617) 371-1230","21 Beacon St","Boston","MA","02108","48"
"Mother Anna's","https://www.yellowpages.com/boston-ma/mip/mother-annas-5393761?lid=5393761","(617) 523-8496","211 Hanover St","Boston","MA","02113","49"
"Hungry I","https://www.yellowpages.com/boston-ma/mip/hungry-i-6947180?lid=6947180","(617) 227-3524","71 1/2 Charles St","Boston","MA","02114","50"
"Boston Sail Loft Restaurant","https://www.yellowpages.com/boston-ma/mip/boston-sail-loft-restaurant-6249403?lid=6249403","(617) 227-7280","80 Atlantic Ave","Boston","MA","02110","51"
"Bin 26 Enoteca","https://www.yellowpages.com/boston-ma/mip/bin-26-enoteca-20388251?lid=20388251","(617) 723-5939","26 Charles St","Boston","MA","02114","52"
"Scampo","https://www.yellowpages.com/boston-ma/mip/scampo-22528070?lid=22528070","(617) 536-2100","215 Charles St","Boston","MA","02114","53"
"Mike's City Diner","https://www.yellowpages.com/boston-ma/mip/mikes-city-diner-3703427?lid=3703427","(617) 267-9393","1714 Washington St","Boston","MA","02118","54"
"606 Congress","https://www.yellowpages.com/boston-ma/mip/606-congress-6348922?lid=6348922","(617) 476-5606","606 Congress St","Boston","MA","02210","55"
"Lo Conte's Restaurant","https://www.yellowpages.com/boston-ma/mip/lo-contes-restaurant-2440689?lid=2440689","(617) 720-0339","114 Salem St # 116","Boston","MA","02113","56"
"The Elephant Walk","https://www.yellowpages.com/boston-ma/mip/the-elephant-walk-473234742?lid=473234742","(617) 247-1500","900 Beacon St","Boston","MA","02215","57"
"Giacomo's Restaurant","https://www.yellowpages.com/boston-ma/mip/giacomos-restaurant-13800192?lid=13800192","(617) 523-9026","355 Hanover St","Boston","MA","02113","58"
"Regina Pizzeria","https://www.yellowpages.com/boston-ma/mip/regina-pizzeria-503972970?lid=503972970","(617) 227-0765","11 1/2 Thacher St","Boston","MA","02113","59"
"Summer Shack","https://www.yellowpages.com/boston-ma/mip/summer-shack-23652?lid=23652","(617) 867-9955","50 Dalton St","Boston","MA","02115","60"
